STOCKNO,INVOICEDAT,BRANCHNO,Make,Model,SALETYPE,SALEPRICE,COSTPRICE,METALPROFIT,Mileage,Make_new,Model_new
38,2021-06-10,1,ford,Ford Transit Variants,Used Sale BFC CV VAT Q,13995.0,13457.0,538.0,16857.0,ford,Ford Transit Variants
44,2021-05-25,1,ford,Ford Kuga Variants,Used Sale BFC Margin,14630.0,13575.0,879.1666666,23789.0,ford,Ford Kuga Variants
45,2021-05-30,1,ford,ecosport,Used Sale BFC Margin,11497.0,11477.0,16.6666666,17757.0,ford,ecosport
46,2021-05-10,1,ford,s-max,Used Sale BFC VAT Q,19582.5,17545.0,2037.5,12334.0,ford,s-max
52,2021-05-28,1,ford,ecosport,Used Sale BFC Margin,11650.0,11650.0,0.0,7465.0,ford,ecosport
54,2021-06-15,3,ford,Ford Fiesta Variants,Used Sale BFC VAT Q,8332.5,6854.17,1478.33,39763.0,ford,Ford Fiesta Variants
55,2021-05-30,1,ford,Ford Fiesta Variants,Used Sale BFC Margin,11950.0,11950.0,0.0,8893.0,ford,Ford Fiesta Variants
57,2021-06-04,1,ford,Ford Fiesta Variants,Used Sale BFC Margin,11999.0,11350.0,540.8333333,17895.0,ford,Ford Fiesta Variants
58,2021-05-27,1,ford,Ford Fiesta Variants,Used Sale BFC VAT Q,10332.5,9583.33,749.17,21560.0,ford,Ford Fiesta Variants
63,2021-05-17,1,ford,Ford Transit Variants,Used Sale BFC CV VAT Q,15000.0,13000.0,2000.0,21897.0,ford,Ford Transit Variants
64,2021-07-20,1,ford,Ford Transit Variants,Used Sale BFC CV VAT Q,8495.0,6950.0,1545.0,59419.0,ford,Ford Transit Variants
66,2021-05-10,1,ford,Ford Fiesta Variants,Used Sale BFC Margin,9050.0,7625.0,1187.5,35023.0,ford,Ford Fiesta Variants
67,2021-05-14,1,ford,Ford Focus Variants,Used Sale BFC Margin,10250.0,8450.0,1500.0,27500.0,ford,Ford Focus Variants
68,2021-05-27,1,ford,Ford Focus Variants,Used Sale BFC Margin,13750.0,11850.0,1583.3333333,28119.0,ford,Ford Focus Variants
70,2021-05-30,1,ford,Ford Focus Variants,Used Sale BFC Margin,9700.0,9350.0,291.6666666,13000.0,ford,Ford Focus Variants
71,2021-06-28,1,ford,Ford Kuga Variants,Used Sale BFC Margin,23999.0,21100.0,2415.8333333,4564.0,ford,Ford Kuga Variants
72,2021-06-24,1,ford,Ford Kuga Variants,Used Sale BFC Margin,17084.0,14800.0,1903.3333333,18801.0,ford,Ford Kuga Variants
77,2021-05-31,1,ford,Ford Ranger Variants,Used PX Margin,23499.0,20900.0,2165.8333333,24771.0,ford,Ford Ranger Variants
81,2021-06-03,1,ford,Ford Transit Variants,Used Sale BFC CV VAT Q,13650.0,11800.0,1850.0,15371.0,ford,Ford Transit Variants
82,2021-06-03,1,ford,Ford Focus Variants,Used Sale BFC CV Margin,24180.4,20500.0,3067.0,8556.0,ford,Ford Focus Variants
86,2021-05-24,1,ford,Ford Fiesta Variants,Used Sale BFC Margin,9999.0,8150.0,1540.8333333,17851.0,ford,Ford Fiesta Variants
87,2021-05-04,1,ford,Ford Focus Variants,Used Sale BFC Margin,18999.0,16750.0,1874.1666666,17296.0,ford,Ford Focus Variants
89,2021-05-30,1,ford,Ford Ranger Variants,Used Sale BFC VAT Q,25995.0,22300.0,3695.0,20983.0,ford,Ford Ranger Variants
90,2021-07-13,1,ford,Ford Fiesta Variants,Used Sale BFC Margin,10427.7,8775.0,1377.25,24991.0,ford,Ford Fiesta Variants
91,2021-06-21,1,ford,Ford Fiesta Variants,Used Sale BFC Margin,9699.0,8400.0,1082.5,26393.0,ford,Ford Fiesta Variants
93,2021-07-02,1,ford,Ford Fiesta Variants,Used Sale BFC Margin,9750.0,8375.0,1145.8333333,30833.0,ford,Ford Fiesta Variants
94,2021-07-16,1,ford,Ford Fiesta Variants,Used Sale BFC Margin,9999.0,8675.0,1103.3333333,30651.0,ford,Ford Fiesta Variants
96,2021-05-25,1,ford,Ford Focus Variants,Used PX Margin,3300.0,2750.0,458.3333333,71527.0,ford,Ford Focus Variants
97,2021-05-25,1,smart,fortwo coupe,Used PX Margin,1200.0,1300.0,-100.0,65000.0,Other,Other
98,2021-06-22,1,ford,Ford Ranger Variants,Used PX VAT Q,20833.3333,18700.0,2133.3333,22997.0,ford,Ford Ranger Variants
99,2021-05-12,1,volvo,v40,Used PX Margin,13250.0,13250.0,0.0,7344.0,volvo,Other
100,2021-06-21,1,ford,c-max,Used PX Margin,5454.0,3500.0,1628.3333333,63500.0,ford,c-max
104,2021-06-14,1,ford,Ford Fiesta Variants,Used Sale BFC CV VAT Q,9250.0,7350.0,1900.0,66719.0,ford,Ford Fiesta Variants
105,2021-05-25,1,ford,Ford Mondeo Variants,Used PX Margin,900.0,600.0,250.0,138000.0,ford,Ford Mondeo Variants
106,2021-05-17,1,ford,Ford Fiesta Variants,Used PX Margin,7499.0,5224.0,1895.8333333,46000.0,ford,Ford Fiesta Variants
107,2021-05-28,1,fiat,500 lounge rhd,Used PX Margin,1450.0,0.0,1208.3333333,91000.0,fiat,Other
109,2021-05-12,1,ford,Ford Fiesta Variants,Used PX Margin,7199.0,5200.0,1665.8333333,47000.0,ford,Ford Fiesta Variants
110,2021-05-05,1,ford,Ford Fiesta Variants,Used PX Margin,5999.0,3223.81,2312.6583333,65000.0,ford,Ford Fiesta Variants
113,2021-05-17,1,ford,galaxy,Used Sale BFC Margin,18899.0,16500.0,1999.1666666,15738.0,ford,galaxy
114,2021-05-18,1,ford,Ford Kuga Variants,Used Sale BFC VAT Q,17499.1667,15791.67,1707.4967,15143.0,ford,Ford Kuga Variants
115,2021-05-25,1,ford,s-max,Used Sale BFC VAT Q,18582.5,16500.0,2082.5,12802.0,ford,s-max
116,2021-05-25,1,ford,Ford Focus Variants,Used Sale BFC Margin,18999.0,17650.0,1124.1666666,15974.0,ford,Ford Focus Variants
117,2021-05-25,2,ford,Ford Kuga Variants,Used Sale BFC Margin,24999.0,22810.0,1824.1666666,3066.0,ford,Ford Kuga Variants
120,2021-05-28,1,seat,ibiza,Used PX Margin,1300.0,1600.0,-300.0,71000.0,seat,ibiza
126,2021-06-10,1,ford,Ford Focus Variants,Used Sale BFC Margin,15100.0,14750.0,291.6666666,8989.0,ford,Ford Focus Variants
128,2021-05-21,1,ford,Ford Focus Variants,Used PX Margin,950.0,1150.0,-200.0,77500.0,ford,Ford Focus Variants
129,2021-05-12,1,mini,hatch,Used PX Margin,16500.0,18381.77,-1881.77,5924.0,mini,Other
130,2021-05-13,1,ford,Ford Transit Variants,New Retail,34095.0,29678.48,4416.52,,ford,Ford Transit Variants
133,2021-05-27,1,ford,Ford Kuga Variants,Used PX Margin,24582.0,22000.0,2151.6666666,3551.0,ford,Ford Kuga Variants
134,2021-05-28,1,ford,Ford Fiesta Variants,Used PX Margin,9999.0,7700.0,1915.8333333,8176.0,ford,Ford Fiesta Variants
135,2021-05-31,1,ford,Ford Focus Variants,Used Sale BFC VAT Q,9582.5,8208.33,1374.17,22061.0,ford,Ford Focus Variants
136,2021-08-27,1,ford,Ford Transit Variants,Used Sale BFC CV VAT Q,25995.0,24200.0,1795.0,15187.0,ford,Ford Transit Variants
137,2021-05-18,4,ford,Ford Kuga Variants,Used Sale BFC VAT Q,14149.1667,11791.67,2357.4967,13599.0,ford,Ford Kuga Variants
138,2021-06-24,4,ford,ecosport,Used PX Margin,7979.0,4750.0,3229.0,39335.0,ford,ecosport
139,2021-05-25,1,ford,mustang,Used Sale BFC Margin,34999.0,28800.0,5165.8333333,19496.0,ford,mustang
140,2021-07-26,1,ford,Ford Focus Variants,Used Sale BFC Margin,27143.66,24200.0,2453.05,34859.0,ford,Ford Focus Variants
141,2021-07-20,4,ford,Ford Mondeo Variants,Used PX Margin,17979.0,11500.0,6479.0,40159.0,ford,Ford Mondeo Variants
144,2021-05-13,4,ford,Ford Kuga Variants,Used PX Margin,18479.0,15400.0,3079.0,34809.0,ford,Ford Kuga Variants
146,2021-09-29,4,ford,Ford Focus Variants,Used PX Margin,220.0,150.0,58.3333333,130000.0,ford,Ford Focus Variants
148,2021-05-28,4,ford,Ford Fiesta Variants,Used PX Margin,2200.0,2200.0,0.0,81116.0,ford,Ford Fiesta Variants
149,2021-05-15,3,ford,Ford Kuga Variants,Used PX Margin,11979.0,8800.0,2649.1666666,52015.0,ford,Ford Kuga Variants
150,2021-05-18,4,ford,Ford Fiesta Variants,Used PX Margin,12978.99,11010.48,1968.51,5691.0,ford,Ford Fiesta Variants
151,2021-05-11,4,ford,Ford Focus Variants,Used PX Margin,14979.0,12600.0,2379.0,12912.0,ford,Ford Focus Variants
152,2021-06-02,4,ford,Ford Kuga Variants,New Trade,29831.54,31631.54,-1800.0,,ford,Ford Kuga Variants
153,2021-05-10,4,ford,Ford Focus Variants,Used PX Margin,11438.99,9100.0,2338.99,15979.0,ford,Ford Focus Variants
154,2021-05-06,4,ford,Ford Focus Variants,Used PX Margin,17710.0,15200.0,2510.0,25338.0,ford,Ford Focus Variants
155,2021-06-14,4,ford,Ford Focus Variants,Used PX Margin,11779.0,9750.0,2029.0,19820.0,ford,Ford Focus Variants
156,2021-05-21,4,ford,Ford Mondeo Variants,Used PX Margin,650.0,800.0,-150.0,175000.0,ford,Ford Mondeo Variants
158,2021-05-17,4,ford,Ford Fiesta Variants,Used PX Margin,8979.0,7750.0,1024.1666666,6979.0,ford,Ford Fiesta Variants
159,2021-06-02,4,ford,b-max,Used PX Margin,7679.0,6625.0,878.3333333,35482.0,ford,b-max
160,2021-05-21,4,vauxhall,astra,Used PX Margin,1500.0,1500.0,0.0,58838.0,vauxhall,astra
161,2021-05-14,4,ford,Ford Kuga Variants,New Retail,29670.83,29661.96,8.87,,ford,Ford Kuga Variants
162,2021-05-06,4,ford,Ford Fiesta Variants,Used PX Margin,9029.0,8277.0,626.6666666,17386.0,ford,Ford Fiesta Variants
163,2021-05-24,4,ford,s-max,Used PX Margin,12250.0,12000.0,208.3333333,30816.0,ford,s-max
165,2021-07-12,4,ford,Ford Fiesta Variants,Used PX Margin,8429.0,7350.0,899.1666666,24358.0,ford,Ford Fiesta Variants
166,2021-05-21,4,renault,megane scenic,Used PX Margin,150.0,200.0,-50.0,71974.0,renault,Other
167,2021-05-05,4,ford,Ford Fiesta Variants,Used PX Margin,11229.0,10325.0,753.3333333,14328.0,ford,Ford Fiesta Variants
168,2021-06-10,4,ford,Ford Kuga Variants,New Retail,29670.83,29094.21,576.62,,ford,Ford Kuga Variants
169,2021-05-19,4,ford,grand c-max,Used PX Margin,2780.0,2700.0,66.6666666,111750.0,ford,grand c-max
170,2021-05-18,4,ford,Ford Fiesta Variants,Used PX Margin,11929.0,9750.0,1815.8333333,9433.0,ford,Ford Fiesta Variants
171,2021-05-06,4,mitsubishi,mirage,Used PX Margin,9500.0,9500.0,0.0,4242.0,mitsubishi,Other
172,2023-10-12,11,ford,ecosport,Ex Demo VAT Q,12999.1667,17895.42,-4896.2533,18874.0,ford,ecosport
174,2021-05-06,4,nissan,x-trail,Used PX Margin,15800.0,15800.0,0.0,29560.0,nissan,x-trail
175,2022-09-26,4,ford,Ford Puma Variants,Used Sale BFC VAT Q,22832.5,24294.79,-1462.29,,ford,Ford Puma Variants
176,2021-05-31,4,ford,Ford Fiesta Variants,Used PX Margin,8679.0,6500.0,1815.8333333,38963.0,ford,Ford Fiesta Variants
177,2021-06-21,2,ford,Ford Fiesta Variants,New Retail,16654.17,16982.04,-327.87,,ford,Ford Fiesta Variants
178,2022-05-16,4,ford,mustang,Ex Demo VAT Q,37833.3333,38025.73,-192.3967,,ford,mustang
179,2021-05-06,4,mazda,mx-5,Used PX Margin,12500.0,12449.0,42.5,20000.0,Other,Other
180,2021-06-11,4,ford,Ford Focus Variants,Used PX Margin,9579.0,7100.0,2065.8333333,38873.0,ford,Ford Focus Variants
181,2021-08-06,7,ford,Ford Fiesta Variants,Used PX Margin,12249.0,9300.0,2457.5,11912.0,ford,Ford Fiesta Variants
182,2021-09-29,4,renault,clio,Used PX Margin,195.0,100.0,79.1666666,68029.0,renault,clio
183,2021-05-06,4,ford,Ford Kuga Variants,New Retail,23890.29,24811.54,-921.25,,ford,Ford Kuga Variants
184,2021-05-28,4,volkswagen,Volkswagen Golf Variants,Used PX Margin,2300.0,1700.0,500.0,110000.0,volkswagen,Volkswagen Golf Variants
185,2021-05-13,4,ford,Ford Focus Variants,Used PX Margin,10479.0,8017.8,2051.0,44993.0,ford,Ford Focus Variants
186,2022-12-16,4,ford,Ford Kuga Variants,Ex Demo VAT Q,27499.1667,31611.46,-4112.2933,,ford,Ford Kuga Variants
187,2021-06-16,4,hyundai,i10,Used PX Margin,550.0,800.0,-250.0,77000.0,hyundai,Other
188,2021-05-19,4,ford,Ford Kuga Variants,New Motabilitiy,25787.5,25653.88,133.62,,ford,Ford Kuga Variants
189,2021-08-16,4,volkswagen,caddy maxi,Used PX Margin,5550.0,4000.0,1291.6666666,89000.0,volkswagen,Other
190,2021-07-01,4,ford,Ford Focus Variants,New Retail,19404.04,20306.54,-902.5,,ford,Ford Focus Variants
191,2021-05-06,4,bmw,BMW Series Models,Used PX Margin,7100.0,7000.0,83.3333333,42500.0,bmw,BMW Series Models
192,2021-06-02,4,ford,Ford Kuga Variants,New Trade,23041.54,23681.54,-640.0,,ford,Ford Kuga Variants
193,2021-05-26,4,vauxhall,corsa,Used PX Margin,212.0,100.0,93.3333333,92970.0,vauxhall,corsa
194,2021-06-24,1,ford,Ford Puma Variants,New Retail,18154.17,18287.04,-132.87,,ford,Ford Puma Variants
195,2021-05-05,4,ford,ka+,Used PX Margin,8999.0,7250.0,1457.5,8029.0,ford,ka+
196,2021-05-19,4,ford,new ford kuga st-line x e,New Retail,26170.83,26098.21,72.62,,ford,Other
197,2021-05-05,4,ford,Ford Focus Variants,Used PX Margin,8553.0,6700.0,1544.1666666,43699.0,ford,Ford Focus Variants
198,2021-05-28,4,seat,ibiza,Used PX Margin,900.0,1000.0,-100.0,86000.0,seat,ibiza
199,2021-05-10,4,ford,Ford Fiesta Variants,New Retail,13567.875,13982.88,-415.005,,ford,Ford Fiesta Variants
200,2021-05-14,4,ford,Ford Fiesta Variants,Used PX Margin,9729.0,7800.0,1607.5,29153.0,ford,Ford Fiesta Variants
201,2021-05-06,4,peugeot,,Used PX Margin,6375.0,6250.0,104.1666666,47245.0,peugeot,
202,2023-05-23,4,ford,Ford Focus Variants,Ex Demo VAT Q,25740.0,27244.75,-1504.75,,ford,Ford Focus Variants
203,2021-05-10,4,ford,ecosport,Used PX Margin,9400.0,7510.0,1575.0,22836.0,ford,ecosport
204,2021-06-17,4,ford,ka+,Used PX Margin,6979.0,5200.0,1482.5,11935.0,ford,ka+
205,2021-05-10,4,ford,Ford Fiesta Variants,New Retail,16504.17,16384.04,120.13,,ford,Ford Fiesta Variants
206,2021-05-31,4,ford,Ford Fiesta Variants,Used PX Margin,12989.0,10700.0,1907.5,18574.0,ford,Ford Fiesta Variants
207,2021-05-06,4,vauxhall,astra,Used PX Margin,6600.0,6300.0,250.0,20000.0,vauxhall,astra
208,2021-05-24,4,ford,Ford Fiesta Variants,Used PX Margin,11475.0,8900.0,2145.8333333,14530.0,ford,Ford Fiesta Variants
209,2022-01-27,4,ford,Ford Fiesta Variants,Used PX Margin,4000.0,3600.0,333.3333333,72353.0,ford,Ford Fiesta Variants
210,2021-06-10,4,ford,Ford Fiesta Variants,Used PX Margin,11206.0,9385.0,1517.5,19145.0,ford,Ford Fiesta Variants
211,2021-05-05,4,ford,Ford Kuga Variants,Used PX Margin,15635.0,12250.0,2820.8333333,16908.0,ford,Ford Kuga Variants
212,2021-05-13,4,ford,Ford Focus Variants,New Retail,22362.5,22029.13,333.37,,ford,Ford Focus Variants
213,2021-05-06,4,renault,clio,Used PX Margin,6000.0,7346.33,-1346.33,,renault,clio
214,2021-06-25,1,ford,Ford Fiesta Variants,Used PX Margin,10529.0,9490.0,865.8333333,22299.0,ford,Ford Fiesta Variants
215,2021-05-25,4,ford,ka+,Used PX Margin,8110.0,7500.0,508.3333333,12395.0,ford,ka+
216,2021-05-19,4,ford,Ford Fiesta Variants,Used PX Margin,14479.0,12500.0,1649.1666666,11621.0,ford,Ford Fiesta Variants
220,2021-05-21,4,audi,Audi A-Series Models,Used PX Margin,3600.0,3000.0,500.0,94000.0,audi,Audi A-Series Models
221,2021-05-21,4,ford,Ford Focus Variants,Used PX Margin,700.0,700.0,0.0,128000.0,ford,Ford Focus Variants
222,2021-05-21,4,skoda,fabia,Used PX Margin,300.0,200.0,83.3333333,62358.0,skoda,Other
223,2021-05-18,4,ford,Ford Focus Variants,Used PX Margin,10979.0,8750.0,1857.5,11604.0,ford,Ford Focus Variants
224,2021-05-10,4,ford,Ford Kuga Variants,Used PX Margin,16584.0,14000.0,2153.3333333,11791.0,ford,Ford Kuga Variants
225,2021-05-06,4,ford,ecosport,Used PX Margin,12250.0,9800.0,2041.6666666,26525.0,ford,ecosport
226,2021-05-25,4,ford,Ford Mondeo Variants,Used PX Margin,300.0,200.0,83.3333333,186500.0,ford,Ford Mondeo Variants
227,2021-05-10,4,ford,Ford Fiesta Variants,Used PX Margin,10299.0,8860.0,1199.1666666,11610.0,ford,Ford Fiesta Variants
228,2021-06-07,4,ford,ka+,Used PX Margin,7148.99,5588.76,1300.1916666,27665.0,ford,ka+
229,2021-10-26,4,vauxhall,astra,Used PX Margin,220.0,60.0,133.3333333,87748.0,vauxhall,astra
230,2021-06-28,5,audi,Audi A-Series Models,Used PX Margin,15773.42,12250.0,2936.1833333,71395.0,audi,Audi A-Series Models
231,2021-09-29,4,ford,Ford Focus Variants,Used PX Margin,220.0,100.0,100.0,188000.0,ford,Ford Focus Variants
232,2021-05-28,4,bmw,BMW Series Models,Used PX Margin,750.0,1000.0,-250.0,104500.0,bmw,BMW Series Models
233,2021-05-21,4,skoda,superb,Used PX Margin,8800.0,8500.0,250.0,48490.0,skoda,Other
234,2021-05-21,4,mini,hatchback,Used PX Margin,1450.0,1450.0,0.0,75368.0,mini,hatchback
235,2021-05-18,4,ford,Ford Kuga Variants,Used PX Margin,25284.0,21500.0,3153.3333333,2423.0,ford,Ford Kuga Variants
236,2021-05-01,4,ford,Ford Focus Variants,Used PX Margin,3450.0,2800.0,541.6666666,57713.0,ford,Ford Focus Variants
237,2021-07-05,5,vauxhall,astra,Used PX Margin,7949.0,6000.0,1624.1666666,31183.0,vauxhall,astra
238,2021-05-21,4,ford,fusion,Used PX Margin,800.0,800.0,0.0,72000.0,ford,Other
239,2021-05-21,4,ford,Ford Fiesta Variants,Used PX Margin,3100.0,2400.0,583.3333333,25656.0,ford,Ford Fiesta Variants
240,2021-05-21,4,ford,c-max,Used PX Margin,1900.0,1500.0,333.3333333,109000.0,ford,c-max
241,2021-06-21,4,ford,Ford Focus Variants,Used PX Margin,5800.0,3200.0,2166.6666666,56107.0,ford,Ford Focus Variants
242,2021-05-21,4,ford,Ford Fiesta Variants,Used PX Margin,900.0,700.0,166.6666666,98000.0,ford,Ford Fiesta Variants
243,2021-05-06,4,ford,Ford Focus Variants,Used PX Margin,8479.0,5410.0,2557.5,50223.0,ford,Ford Focus Variants
244,2021-07-22,4,ford,Ford Fiesta Variants,Used Sale BFC Margin,13379.0,11850.0,1274.1666666,12279.0,ford,Ford Fiesta Variants
245,2021-05-25,4,volkswagen,touran,Used PX Margin,375.0,279.0,80.0,173818.0,volkswagen,Other
246,2021-05-28,1,ford,Ford Fiesta Variants,Used Sale BFC Margin,9500.0,7013.56,2072.0333333,33360.0,ford,Ford Fiesta Variants
247,2021-05-24,4,ford,Ford Fiesta Variants,Used PX Margin,9429.0,7500.0,1607.5,25324.0,ford,Ford Fiesta Variants
248,2021-09-29,4,honda,jazz,Used PX Margin,60.0,75.0,-15.0,85000.0,honda,Other
249,2021-05-27,4,ford,Ford Focus Variants,Used Sale BFC Margin,16479.0,13661.0,2348.3333333,20554.0,ford,Ford Focus Variants
250,2021-06-11,4,ford,mustang,Used Sale BFC Margin,30979.0,27000.0,3315.8333333,12892.0,ford,mustang
251,2021-05-18,4,ford,Ford Fiesta Variants,Used Sale BFC Margin,16872.0,14000.0,2393.3333333,11880.0,ford,Ford Fiesta Variants
252,2021-05-13,4,ford,mustang,Used Sale BFC Margin,35111.0,31300.0,3175.8333333,6754.0,ford,mustang
253,2021-08-06,4,ford,Ford Kuga Variants,Used Sale BFC Margin,24919.0,21495.0,2853.3333333,2132.0,ford,Ford Kuga Variants
254,2021-05-20,4,ford,mustang,Used Sale BFC Margin,28280.0,23600.0,3900.0,23490.0,ford,mustang
255,2021-06-17,3,ford,Ford Kuga Variants,Used Sale BFC Margin,28979.0,25465.0,2928.3333333,2319.0,ford,Ford Kuga Variants
256,2021-05-06,4,ford,mustang,Used Sale BFC Margin,26580.0,23800.0,2316.6666666,33843.0,ford,mustang
257,2021-08-24,4,ford,Ford Fiesta Variants,Used Sale BFC Margin,7779.0,5500.0,1899.1666666,20847.0,ford,Ford Fiesta Variants
258,2021-06-16,4,ford,ka+,Ex Demo VAT Q,6024.1667,4954.17,1069.9967,26893.0,ford,ka+
259,2021-05-18,4,ford,mustang,Used Sale BFC Margin,42979.0,37000.0,4982.5,6469.0,ford,mustang
260,2021-06-14,4,ford,Ford Kuga Variants,Ex Demo VAT Q,23649.17,19051.36,4597.81,6679.0,ford,Ford Kuga Variants
261,2021-05-11,4,ford,mustang,Used Sale BFC Margin,35779.0,31900.0,3232.5,2151.0,ford,mustang
262,2021-05-13,4,ford,Ford Kuga Variants,Ex Demo VAT Q,18749.17,16641.68,2107.49,6500.0,ford,Ford Kuga Variants
263,2021-05-21,4,ford,mustang,Used Sale BFC Margin,28900.0,24900.0,3333.3333333,20495.0,ford,mustang
264,2021-05-17,4,ford,Ford Kuga Variants,Ex Demo VAT Q,23065.8333,19241.56,3824.2733,15259.0,ford,Ford Kuga Variants
265,2021-06-10,4,ford,mustang,Used Sale BFC Margin,43979.0,38100.0,4899.1666666,2455.0,ford,mustang
266,2021-06-23,4,toyota,yaris,Used PX Margin,3400.0,3200.0,166.6666666,56700.0,toyota,yaris
267,2021-06-08,4,ford,mustang,Used Sale BFC Margin,38979.0,33500.0,4565.8333333,24868.0,ford,mustang
268,2021-06-21,4,ford,Ford Focus Variants,Used Sale BFC Margin,29629.0,25600.0,3357.5,23306.0,ford,Ford Focus Variants
269,2021-05-05,4,ford,Ford Mondeo Variants,Used Sale BFC Margin,13979.0,11000.0,2482.5,41146.0,ford,Ford Mondeo Variants
270,2021-12-17,4,ford,Ford Focus Variants,Used PX Margin,7550.0,5300.0,1875.0,64000.0,ford,Ford Focus Variants
271,2021-05-26,4,ford,ecosport,Used Sale BFC Margin,10880.0,10750.0,108.3333333,18138.0,ford,ecosport
274,2021-07-27,7,ford,Ford Ranger Variants,Used Sale BFC Margin,30799.0,23500.0,6082.5,21508.0,ford,Ford Ranger Variants
275,2021-09-30,1,ford,Ford Ranger Variants,Used Sale BFC CV VAT Q,24999.17,21000.0,3999.17,21182.0,ford,Ford Ranger Variants
276,2021-05-07,1,ford,Ford Fiesta Variants,Used Sale BFC Margin,12899.0,11400.0,1249.1666666,8544.0,ford,Ford Fiesta Variants
277,2021-05-25,1,ford,Ford Mondeo Variants,Used Sale BFC VAT Q,11832.5,10643.33,1189.17,36702.0,ford,Ford Mondeo Variants
279,2021-05-31,4,volkswagen,Volkswagen Golf Variants,Used PX Margin,5300.0,5300.0,0.0,89000.0,volkswagen,Volkswagen Golf Variants
281,2021-05-05,4,ford,Ford Focus Variants,New Retail,19567.54,19567.54,0.0,,ford,Ford Focus Variants
282,2021-05-05,1,ford,Ford Kuga Variants,New Trade,24574.71,24574.71,0.0,,ford,Ford Kuga Variants
283,2021-05-18,1,ford,galaxy,Used Sale BFC VAT Q,12249.1667,10833.33,1415.8367,32132.0,ford,galaxy
284,2021-07-21,1,ford,Ford Transit Variants,Used Sale BFC VAT Q,20495.0,18100.0,2395.0,16985.0,ford,Ford Transit Variants
285,2021-06-03,1,ford,Ford Transit Variants,Used Sale BFC VAT Q,23495.0,21200.0,2295.0,25658.0,ford,Ford Transit Variants
287,2021-07-31,1,ford,Ford Transit Variants,Used Sale BFC CV Margin,15510.0,14150.0,1133.3333333,65268.0,ford,Ford Transit Variants
288,2021-05-27,4,mini,hatch,Used PX Margin,14500.0,14100.0,333.3333333,30000.0,mini,Other
289,2021-06-09,4,ford,galaxy,Used PX Margin,600.0,500.0,83.3333333,165000.0,ford,galaxy
290,2021-07-23,1,ford,Ford Fiesta Variants,Used Sale BFC Margin,9799.0,8250.0,1290.8333333,20190.0,ford,Ford Fiesta Variants
291,2021-06-09,1,ford,Ford Fiesta Variants,Used Sale BFC Margin,8100.0,8100.0,0.0,13151.0,ford,Ford Fiesta Variants
292,2021-08-31,1,ford,ecosport,Used Sale BFC Margin,14999.0,13500.0,1249.1666666,8301.0,ford,ecosport
293,2021-06-25,1,ford,Ford Fiesta Variants,Used Sale BFC Margin,10699.0,9550.0,957.5,17493.0,ford,Ford Fiesta Variants
294,2021-06-03,1,ford,Ford Fiesta Variants,Used Sale BFC Margin,8800.0,8800.0,0.0,16505.0,ford,Ford Fiesta Variants
297,2021-06-29,1,ford,Ford Kuga Variants,Used Sale BFC Margin,18499.0,15500.0,2499.1666666,4860.0,ford,Ford Kuga Variants
298,2021-06-07,1,ford,Ford Fiesta Variants,Used Sale BFC Margin,10499.0,9250.0,1040.8333333,13852.0,ford,Ford Fiesta Variants
300,2021-06-11,1,ford,Ford Focus Variants,Used Sale BFC Margin,16000.0,14527.0,1227.5,28278.0,ford,Ford Focus Variants
